fecha,nombre_fondo,valor_unidad
2016-02-15,Fondo de Cesantias Largo Plazo,26806.04
2016-02-15,Fondo de Cesantias Corto Plazo,26692.06
2016-02-15,Fondo de Pensiones Moderado,34087.09
2016-02-15,Fondo de Pensiones Conservador,35667.61
2016-02-15,Fondo de Pensiones Mayor Riesgo,32918.27
2016-02-15,Fondo de Pensiones Retiro Programado,36002.08
2016-02-16,Fondo de Cesantias Largo Plazo,26871.54
2016-02-16,Fondo de Cesantias Corto Plazo,26695.0
2016-02-16,Fondo de Pensiones Moderado,34166.63
2016-02-16,Fondo de Pensiones Conservador,35750.62
2016-02-16,Fondo de Pensiones Mayor Riesgo,33153.59
2016-02-16,Fondo de Pensiones Retiro Programado,36083.51
2016-02-17,Fondo de Cesantias Largo Plazo,27079.93
2016-02-17,Fondo de Cesantias Corto Plazo,26698.16
2016-02-17,Fondo de Pensiones Moderado,34470.26
2016-02-17,Fondo de Pensiones Conservador,35890.43
2016-02-17,Fondo de Pensiones Mayor Riesgo,33544.94
2016-02-17,Fondo de Pensiones Retiro Programado,36235.78
2016-02-18,Fondo de Cesantias Largo Plazo,27073.37
2016-02-18,Fondo de Cesantias Corto Plazo,26701.93
2016-02-18,Fondo de Pensiones Moderado,34415.92
2016-02-18,Fondo de Pensiones Conservador,35880.93
2016-02-18,Fondo de Pensiones Mayor Riesgo,33509.49
2016-02-18,Fondo de Pensiones Retiro Programado,36217.7
2016-02-19,Fondo de Cesantias Largo Plazo,27087.45
2016-02-19,Fondo de Cesantias Corto Plazo,26706.15
2016-02-19,Fondo de Pensiones Moderado,34423.5
2016-02-19,Fondo de Pensiones Conservador,35890.09
2016-02-19,Fondo de Pensiones Mayor Riesgo,33505.51
2016-02-19,Fondo de Pensiones Retiro Programado,36226.7
2016-02-20,Fondo de Cesantias Largo Plazo,27091.41
2016-02-20,Fondo de Cesantias Corto Plazo,26710.39
2016-02-20,Fondo de Pensiones Moderado,34429.74
2016-02-20,Fondo de Pensiones Conservador,35901.24
2016-02-20,Fondo de Pensiones Mayor Riesgo,33510.04
2016-02-20,Fondo de Pensiones Retiro Programado,36239.52
2016-02-21,Fondo de Cesantias Largo Plazo,27095.35
2016-02-21,Fondo de Cesantias Corto Plazo,26714.52
2016-02-21,Fondo de Pensiones Moderado,34436.61
2016-02-21,Fondo de Pensiones Conservador,35912.31
2016-02-21,Fondo de Pensiones Mayor Riesgo,33514.52
2016-02-21,Fondo de Pensiones Retiro Programado,36252.37
2016-02-22,Fondo de Cesantias Largo Plazo,27179.25
2016-02-22,Fondo de Cesantias Corto Plazo,26719.05
2016-02-22,Fondo de Pensiones Moderado,34498.08
2016-02-22,Fondo de Pensiones Conservador,35987.28
2016-02-22,Fondo de Pensiones Mayor Riesgo,33642.15
2016-02-22,Fondo de Pensiones Retiro Programado,36330.6
2016-02-23,Fondo de Cesantias Largo Plazo,27081.75
2016-02-23,Fondo de Cesantias Corto Plazo,26723.0
2016-02-23,Fondo de Pensiones Moderado,34422.78
2016-02-23,Fondo de Pensiones Conservador,35941.9
2016-02-23,Fondo de Pensiones Mayor Riesgo,33422.1
2016-02-23,Fondo de Pensiones Retiro Programado,36307.5
2016-02-24,Fondo de Cesantias Largo Plazo,27057.44
2016-02-24,Fondo de Cesantias Corto Plazo,26727.99
2016-02-24,Fondo de Pensiones Moderado,34386.49
2016-02-24,Fondo de Pensiones Conservador,35964.31
2016-02-24,Fondo de Pensiones Mayor Riesgo,33381.62
2016-02-24,Fondo de Pensiones Retiro Programado,36329.62
2016-02-25,Fondo de Cesantias Largo Plazo,27173.1
2016-02-25,Fondo de Cesantias Corto Plazo,26732.8
2016-02-25,Fondo de Pensiones Moderado,34509.38
2016-02-25,Fondo de Pensiones Conservador,36053.96
2016-02-25,Fondo de Pensiones Mayor Riesgo,33563.54
2016-02-25,Fondo de Pensiones Retiro Programado,36443.91
2016-02-26,Fondo de Cesantias Largo Plazo,27209.3
2016-02-26,Fondo de Cesantias Corto Plazo,26737.35
2016-02-26,Fondo de Pensiones Moderado,34573.75
2016-02-26,Fondo de Pensiones Conservador,36083.19
2016-02-26,Fondo de Pensiones Mayor Riesgo,33636.86
2016-02-26,Fondo de Pensiones Retiro Programado,36462.01
2016-02-27,Fondo de Cesantias Largo Plazo,27213.01
2016-02-27,Fondo de Cesantias Corto Plazo,26741.61
2016-02-27,Fondo de Pensiones Moderado,34580.58
2016-02-27,Fondo de Pensiones Conservador,36093.69
2016-02-27,Fondo de Pensiones Mayor Riesgo,33641.14
2016-02-27,Fondo de Pensiones Retiro Programado,36474.7
2016-02-28,Fondo de Cesantias Largo Plazo,27216.78
2016-02-28,Fondo de Cesantias Corto Plazo,26745.87
2016-02-28,Fondo de Pensiones Moderado,34587.27
2016-02-28,Fondo de Pensiones Conservador,36104.67
2016-02-28,Fondo de Pensiones Mayor Riesgo,33645.41
2016-02-28,Fondo de Pensiones Retiro Programado,36487.67
2016-02-29,Fondo de Cesantias Largo Plazo,27206.36
2016-02-29,Fondo de Cesantias Corto Plazo,26749.82
2016-02-29,Fondo de Pensiones Moderado,34592.38
2016-02-29,Fondo de Pensiones Conservador,36093.24
2016-02-29,Fondo de Pensiones Mayor Riesgo,33637.57
2016-02-29,Fondo de Pensiones Retiro Programado,36488.56
2016-03-01,Fondo de Cesantias Largo Plazo,27352.62
2016-03-01,Fondo de Cesantias Corto Plazo,26753.57
2016-03-01,Fondo de Pensiones Moderado,34729.48
2016-03-01,Fondo de Pensiones Conservador,36170.36
2016-03-01,Fondo de Pensiones Mayor Riesgo,33950.8
2016-03-01,Fondo de Pensiones Retiro Programado,36587.55
2016-03-02,Fondo de Cesantias Largo Plazo,27453.57
2016-03-02,Fondo de Cesantias Corto Plazo,26757.08
2016-03-02,Fondo de Pensiones Moderado,34824.8
2016-03-02,Fondo de Pensiones Conservador,36255.83
2016-03-02,Fondo de Pensiones Mayor Riesgo,34130.61
2016-03-02,Fondo de Pensiones Retiro Programado,36673.38
2016-03-03,Fondo de Cesantias Largo Plazo,27563.46
2016-03-03,Fondo de Cesantias Corto Plazo,26762.67
2016-03-03,Fondo de Pensiones Moderado,35000.86
2016-03-03,Fondo de Pensiones Conservador,36335.72
2016-03-03,Fondo de Pensiones Mayor Riesgo,34345.14
2016-03-03,Fondo de Pensiones Retiro Programado,36775.82
2016-03-04,Fondo de Cesantias Largo Plazo,27564.34
2016-03-04,Fondo de Cesantias Corto Plazo,26767.17
2016-03-04,Fondo de Pensiones Moderado,35004.62
2016-03-04,Fondo de Pensiones Conservador,36367.74
2016-03-04,Fondo de Pensiones Mayor Riesgo,34371.53
2016-03-04,Fondo de Pensiones Retiro Programado,36835.99
2016-03-05,Fondo de Cesantias Largo Plazo,27568.12
2016-03-05,Fondo de Cesantias Corto Plazo,26771.45
2016-03-05,Fondo de Pensiones Moderado,35010.9
2016-03-05,Fondo de Pensiones Conservador,36378.56
2016-03-05,Fondo de Pensiones Mayor Riesgo,34375.67
2016-03-05,Fondo de Pensiones Retiro Programado,36848.89
2016-03-06,Fondo de Cesantias Largo Plazo,27571.92
2016-03-06,Fondo de Cesantias Corto Plazo,26775.73
2016-03-06,Fondo de Pensiones Moderado,35017.21
2016-03-06,Fondo de Pensiones Conservador,36389.42
2016-03-06,Fondo de Pensiones Mayor Riesgo,34379.73
2016-03-06,Fondo de Pensiones Retiro Programado,36861.81
2016-03-07,Fondo de Cesantias Largo Plazo,27592.62
2016-03-07,Fondo de Cesantias Corto Plazo,26780.39
2016-03-07,Fondo de Pensiones Moderado,35032.55
2016-03-07,Fondo de Pensiones Conservador,36430.14
2016-03-07,Fondo de Pensiones Mayor Riesgo,34384.4
2016-03-07,Fondo de Pensiones Retiro Programado,36896.4
2016-03-08,Fondo de Cesantias Largo Plazo,27496.14
2016-03-08,Fondo de Cesantias Corto Plazo,26784.61
2016-03-08,Fondo de Pensiones Moderado,34936.4
2016-03-08,Fondo de Pensiones Conservador,36372.24
2016-03-08,Fondo de Pensiones Mayor Riesgo,34213.4
2016-03-08,Fondo de Pensiones Retiro Programado,36855.64
2016-03-09,Fondo de Cesantias Largo Plazo,27559.77
2016-03-09,Fondo de Cesantias Corto Plazo,26788.95
2016-03-09,Fondo de Pensiones Moderado,35066.32
2016-03-09,Fondo de Pensiones Conservador,36425.27
2016-03-09,Fondo de Pensiones Mayor Riesgo,34350.26
2016-03-09,Fondo de Pensiones Retiro Programado,36942.53
2016-03-10,Fondo de Cesantias Largo Plazo,27644.75
2016-03-10,Fondo de Cesantias Corto Plazo,26793.45
2016-03-10,Fondo de Pensiones Moderado,35187.93
2016-03-10,Fondo de Pensiones Conservador,36494.55
2016-03-10,Fondo de Pensiones Mayor Riesgo,34491.39
2016-03-10,Fondo de Pensiones Retiro Programado,37050.71
2016-03-11,Fondo de Cesantias Largo Plazo,27757.19
2016-03-11,Fondo de Cesantias Corto Plazo,26797.99
2016-03-11,Fondo de Pensiones Moderado,35329.88
2016-03-11,Fondo de Pensiones Conservador,36586.63
2016-03-11,Fondo de Pensiones Mayor Riesgo,34675.1
2016-03-11,Fondo de Pensiones Retiro Programado,37183.86
2016-03-12,Fondo de Cesantias Largo Plazo,27760.81
2016-03-12,Fondo de Cesantias Corto Plazo,26802.3
2016-03-12,Fondo de Pensiones Moderado,35336.24
2016-03-12,Fondo de Pensiones Conservador,36597.22
2016-03-12,Fondo de Pensiones Mayor Riesgo,34679.07
2016-03-12,Fondo de Pensiones Retiro Programado,37196.28
2016-03-13,Fondo de Cesantias Largo Plazo,27764.42
2016-03-13,Fondo de Cesantias Corto Plazo,26806.59
2016-03-13,Fondo de Pensiones Moderado,35342.4
2016-03-13,Fondo de Pensiones Conservador,36608.05
2016-03-13,Fondo de Pensiones Mayor Riesgo,34683.06
2016-03-13,Fondo de Pensiones Retiro Programado,37209.08
2016-03-14,Fondo de Cesantias Largo Plazo,27746.45
2016-03-14,Fondo de Cesantias Corto Plazo,26810.64
2016-03-14,Fondo de Pensiones Moderado,35346.76
2016-03-14,Fondo de Pensiones Conservador,36585.52
2016-03-14,Fondo de Pensiones Mayor Riesgo,34689.93
2016-03-14,Fondo de Pensiones Retiro Programado,37153.7
2016-03-15,Fondo de Cesantias Largo Plazo,27640.0
2016-03-15,Fondo de Cesantias Corto Plazo,26814.92
2016-03-15,Fondo de Pensiones Moderado,35192.85
2016-03-15,Fondo de Pensiones Conservador,36522.94
2016-03-15,Fondo de Pensiones Mayor Riesgo,34504.54
2016-03-15,Fondo de Pensiones Retiro Programado,37091.73
2016-03-16,Fondo de Cesantias Largo Plazo,27695.32
2016-03-16,Fondo de Cesantias Corto Plazo,26819.3
2016-03-16,Fondo de Pensiones Moderado,35229.96
2016-03-16,Fondo de Pensiones Conservador,36551.45
